,ra,dec,ids,bands
462,306.4006794988818,-19.76814482367682,2025063000658,i
463,307.95717872079587,-17.311835321715375,2025063000659,i
464,303.20908154013597,-19.428554714408193,2025063000660,i
465,304.77755586625915,-17.016918243250846,2025063000661,i
466,358.02733481052303,-3.150051309621749,2025063000595,r
467,319.2446105931237,-25.682625352208273,2025063000615,i
468,316.02578210588405,-25.682328255117458,2025063000616,i
469,312.8094850506772,-25.574211981566346,2025063000617,i
470,311.20261875780557,-22.7974532229857,2025063000618,i
471,308.0112578900031,-22.55092713169871,2025063000619,i
472,309.58479231032067,-20.042207396906257,2025063000620,i
473,306.4006706527228,-19.768140952947096,2025063000621,i
474,304.817534047701,-22.22509752302302,2025063000622,i
475,303.20908917095994,-19.428547623068493,2025063000623,i
476,304.7775466557281,-17.016918920395398,2025063000624,i
477,301.58893737871074,-16.670053901344897,2025063000625,i
478,299.97572868861437,-13.940869978736776,2025063000626,i
479,298.383934569028,-16.28835467567307,2025063000627,i
480,300.00140608341576,-19.039629586078274,2025063000628,i
481,301.6130306001805,-21.834571193732707,2025063000629,i
482,298.3842849161523,-21.396090084203994,2025063000630,i
483,299.9739392525984,-24.232970763292922,2025063000631,i
484,298.2724877754246,-26.624330204513676,2025063000632,i
485,301.4953488248595,-27.13495783266478,2025063000633,i
486,299.6962927942457,-29.58816580511712,2025063000634,i
487,302.92161403984124,-30.0900283401717,2025063000635,i
488,304.710160470719,-27.576194976134406,2025063000636,i
489,303.19062137193043,-24.68076900051046,2025063000637,i
490,306.3952675590457,-25.062696191004317,2025063000638,i
491,309.599337839194,-25.364438330653037,2025063000639,i
492,307.93221572189816,-27.934621804606596,2025063000640,i
493,311.1674557085778,-28.199948823768786,2025063000641,i
494,314.416296652963,-28.363721129333292,2025063000642,i
495,311.16749848429765,-28.1999487170859,2025063000643,i
496,314.4163075414317,-28.363685894864886,2025063000644,i
497,312.8095472954529,-25.574213433910188,2025063000645,i
498,316.02576627894354,-25.682335638359827,2025063000646,i
499,319.2446053817863,-25.682626212508417,2025063000647,i
500,322.4594955205051,-25.572756127768884,2025063000648,i
501,317.5916907595684,-23.00466139689496,2025063000649,i
502,314.3959245574577,-22.951870947668162,2025063000650,i
503,311.2025669365763,-22.797393450289977,2025063000651,i
504,312.76766184213835,-20.23597427401212,2025063000652,i
505,309.5847714443038,-20.042292030503233,2025063000653,i
506,306.3950303974033,-25.062698325199854,2025063000655,i
507,303.19055191000683,-24.680774160813066,2025063000656,i
508,306.3284983813752,-14.602693495452646,2025063000662,i
509,303.15579737414225,-14.291054985169897,2025063000663,i
510,301.5891586759816,-16.670058629531454,2025063000664,i
511,300.0013003790815,-19.039629617870194,2025063000665,i
512,298.38391841240764,-16.288353602604293,2025063000666,i
513,296.7834450997571,-13.56500851959359,2025063000667,i
514,296.76681788512957,-18.619261363593836,2025063000668,i
515,298.3842349258122,-21.396092170503053,2025063000669,i
